Quote	Verb	Type	Author	Title	Page	Original Publication Date	Original Publisher	Reprint Collection	Reprint Publisher	Reprint Publication Date	Pseudonymn																
You need other people to stand by you, and what we need is a union of female chefs. To get our voices heard we must all come together and let everybody know this: you touch one of us and you deal with us all.	close	journalism	Asma Khan	&ldquo;They put her in the fridge and touch her up&rdquo;: Is the restaurant world having its #MeToo moment?"		29 January 2019	The Telegraph																				

The #MeToo movement is helping some folks, but restaurant workers are still suffering under abusive managers, owners (& restaurant grps). @BauerJournalism spent months reporting on Josh Schatan after some very brave women reached out"	take	socialmedia	Jen Sabella			11 October 2019																					

Every town has one of these bro-centric restaurants, the places that make everyday misogyny seem like a gentle caress, albeit an unwanted one.	peel	journalism	Jen Agg	&ldquo;I am a Restaurant Owner. Why Aren&rsquo;t my Peers as Disgusted by Sexism as I Am?&rdquo;		31 January 2017	Eater New York																				

In one incident that allegedly took place at a Downtown restaurant, a woman said the food industry veteran slapped her, dragged her by her hair and pushed her.	shake	journalism	Kelly Bauer	"Chicago Restaurant Manager Was Notorious For Abusing Women, Staff &mdash; And Hospitality Group Did Nothing For Years, Victims Say"		11 October 2019	Block Club Chicago																				

Although the restaurant industry employs only one-tenth of all workers...they account for nearly 40 percent of all complains filed with the Equal Employment Opportunity Comission.	fill	journalism	Lori Galarreta	&ldquo;How Suzanne Goin Runs her Kitchen in the #MeToo Era&rdquo;		9 July 2018	LAist																				

Creating a healthy environment is a logical extension of our hospitality&mdash;we can&rsquo;t provide the true, warm, open experience we want for our guests unless every one of our staff members and guests is safe and respected.	open	journalism	Caitlin Corcoran	What Does it Mean to Be Safe in a Restaurant?		7 February 2019	James Beard Foundation																				

I realized it was not enough just to intervene in a given moment at my establishment. I needed to go a step further and re-evaluate my business&rsquo;s policies on safety for both staff and guests.	check	journalism	Caitlin Corcoran	What Does it Mean to Be Safe in a Restaurant?		7 February 2019	James Beard Foundation																				

After 18 years in the industry, I am now in a place of power, and I see it as my responsibility to create the culture that I have always wanted to work in. I am proud to own an establishment that strives to make everyone feel safe.	adjust	journalism	Caitlin Corcoran	What Does it Mean to Be Safe in a Restaurant?		7 February 2019	James Beard Foundation																				

&ldquo;All these years we have been battling for a room of one&rsquo;s own,&rdquo; she wrote. &ldquo;Little did we know it, but we are still fighting for a seat at the table (or bar, to be strictly accurate).&rdquo;	fill	journalism	Flora Drury	Why are single women still mistaken for prostitutes?		21 January 2019	 BBC News																				

Alice, who was also a crew chief &mdash; or shift leader &mdash; at the restaurant, grew fearful that she would be ostracized if she complained to management.	remove	journalism	Kelly McLaughlin	"As #MeToo takes down alleged sexual harassers at the top levels of power, chain restaurants face fresh scrutiny"		7 March 2019	Insider																				

The alleged harassment included offensive sexual comments, groping, physical threats, and, in one instance, attempted forced oral sex with a management employee. Some of the female employees were teenagers at the time of the alleged harassment.	squeeze	journalism	Kelly McLaughlin	"As #MeToo takes down alleged sexual harassers at the top levels of power, chain restaurants face fresh scrutiny"		7 March 2019	Insider																				

According to an investigation by Vox, more than 60 workers at IHOPs and Applebee&rsquo;s restaurants across eight states filed sexual harassment lawsuits in federal court between 2010 and February 2018.	press	journalism	Kelly McLaughlin	"As #MeToo takes down alleged sexual harassers at the top levels of power, chain restaurants face fresh scrutiny"		7 March 2019	Insider																				

Sexual harassment continues to afflict the service industry more than any other private sector. According to the Center for American Progress (CAP), there are three times as many reported incidences of sexual harassment among hotel and restaurant workers than there are among manufacturing and healthcare industry employees.	pour	journalism	Kelly McLaughlin	"As #MeToo takes down alleged sexual harassers at the top levels of power, chain restaurants face fresh scrutiny"		7 March 2019	Insider																				

I was the &ldquo;perfect victim.&rdquo; I wasn&rsquo;t drunk or alone, I wasn&rsquo;t wearing a short skirt or a low-cut top, and I was surrounded by people I knew and trusted in a public place.	scoop	journalism	Ashley Goldsmith	&ldquo;My Coworkers Turned on me WhenI Reported a Chef to HR&rdquo;		14 November 2018	Eater New York																				

A 2014 study from the Restaurant Opportunities Centers United (ROC United) Forward Together revealed that 79% of women and 71% of men who were surveyed said they had experienced some form of sexual harassment from co-workers while working in the service industry.	pour	journalism	Kelly McLaughlin			7 March 2019	Insider																				

Not convinced non-competes are bad? Imagine that you&rsquo;re being sexually harassed at your restaurant job &mdash; but you can&rsquo;t leave your job because the fine print in your employment contract says you can&rsquo;t work other restaurants in your area. #MeToo	remove	socialmedia	Sejal Singh			24 April 2019																					

In the era of #MeToo, gender dynamics in some restaurant kitchens are finally changing	wash	socialmedia	Eater			4 November 2019																					

&ldquo;He had so much control, and he was so dominant and powerful, that I didn&rsquo;t feel like if I stepped away that I would survive.&rdquo;	close	journalism	Cathy Erway	Life After the Line-Cook Boys&rsquo; Club		31 October 2019	Eater																				

According to the United States Department of Labor, 41.8 percent of cooks in the U.S. were women in 2018. Also in 2018, in another study, it was shown that 71.1 percent of chefs and &ldquo;head cooks&rdquo; in the U.S. were reportedly male.	check	journalism	Cathy Erway	Life After the Line-Cook Boys&rsquo; Club		31 Octover 2019	Eater																				

The thinking behind the change was itself misguided - a human, not alcohol, attacked me. But the ramifications were worse. It was my community, rather than the man who hurt me, that made my life at work unbearable.	adjust	journalism	Ashley Goldsmith	&ldquo;My Coworkers Turned on me When I Reported a Chef to HR&rdquo;		14 November 2018	Eater New York																				

[Y]oung women...should not have to leave a good job because a cook continues to hit on her....	put	journalism	Kim Severson	&ldquo;Food Writing in the #MeToo Era&rdquo;		16 July 2018	The New York Times																				

We fought to get a leg up by being &lsquo;one of the guys.&rsquo; We partied with them, let some of them slap us on the ass. We learned that the real way of handling it and getting ahead was maintaining (if not even creating) the bro code. Sometimes WE started slapping people on the ass. And it was working. We were getting ahead!	insert	journalism	Naomi Pomeroy	"As a Chef and a Woman, I Regret Joining the Boys&rsquo; Club"		21 June 2018	Eater																				

But #MeToo ripped that apart. It showed us what we put up with for so long as normal is deeply, unequivocally wrong. We sort of knew it, but we were too busy emulating and living it.	flip	journalism	Naomi Pomeroy	"As a Chef and a Woman, I Regret Joining the Boys&rsquo; Club"		21 June 2018	Eater																				

Elizabeth Haigh (@the_modernchef) says the UK restaurant industry needs its own #MeToo moment (@women_food_wifi)	wash	socialmedia	Jemima Gibbons			1 May 2019																					

And one of the things that I&rsquo;m ashamed of is that I accepted it &mdash; we all did, all the women of my generation. It was transactional, right? You just took it for granted that men were going to come on to you.... We accepted it, and we should never have, but it was just the way of the world...I&rsquo;m so happy that women aren&rsquo;t accepting it anymore.	shake	journalism	John Birdsall	Q&A: Ruth Reichl on breaking through the machismo of restaurant and publishing worlds		3 April 2019	 Los Angeles Times																				

&ldquo;We endured it because we had to; we didn&rsquo;t have an option. If you went against it, you didn&rsquo;t have a job.&rdquo;	turn	journalism	Cathy Erway	&ldquo;Life After the Line-Cook Boys&rsquo; Club&rdquo;		31 October 2019	Eater New York																				

[I]f women are experts at recognizing predatory behavior because they are often targets, men are experts in recognizing when a woman is not interested because, if they&rsquo;re into women, odds are they&rsquo;ve been shot down a few times.	turn-off	journalism	Haley Hamilton	&ldquo;When you see a Stranger Being Creepy in a bar, the Worst Thing you can do is Nothing&rdquo;		1 April 2019	Eater New York																				

&ldquo;You know what I&rsquo;d love when I&rsquo;ve got a guy hounding me...another man to engage him in conversation...this takes the attention off of me, lets me move away if I want to...lets me, most importantly, know that you are not on his team, you are not his friend, and that I don&rsquo;t have to be afraid of you, too.&rdquo;	take	journalism	Haley Hamilton	&ldquo;When you see a Stranger Being Creepy in a bar, the Worst Thing you can do is Nothing&rdquo;		1 April 2019	Eater New York																				

Sometimes all it takes is a look: lock eyes with me for a minute and look towards the offender and then back at me. That nonverbal support speaks volumes. It lets me know you see what&rsquo;s happening and that you&rsquo;re on my team.	insert	journalism	Haley Hamilton	&ldquo;When you see a Stranger Being Creepy in a bar, the Worst Thing you can do is Nothing&rdquo;		1 April 2019	Eater New York																				

It lets me know you see what&rsquo;s happening and that you&rsquo;re on my team. It tells me that you&rsquo;re aware I shouldn&rsquo;t be left alone with this person and that, if you can help it, I won&rsquo;t be.	insert	journalism	Haley Hamilton	&ldquo;When you see a Stranger Being Creepy in a bar, the Worst Thing you can do is Nothing&rdquo;		1 April 2019	Eater New York																				

Bars are, most accurately, about community, and communities only thrive when all its members adhere to the same codes of conduct, when everyone is held to the same standards.	squeeze	journalism	Haley Hamilton	&ldquo;When you see a Stranger Being Creepy in a bar, the Worst Thing you can do is Nothing&rdquo;		1 April 2019	Eater New York																				

If he wanted her to cook for pigs he had only to say so. She knew how to cook for pigs and she knew how to cook for people.	adjust	literature	Kate Chopin	A Night in Acadie	14	1897	Way & Williams																				

No one who cooks, cooks alone. Even at her most solitary, a cook in the kitchen is surrounded by generations of cooks past, the advice and menus of cooks present, the wisdom of cookbook writers.	turn	literature	Laurie Colwin	Home Cooking: A Writer in the Kitchen	"""Preface"""																						

<strong>La cucina</strong> bears the scents of its past, and every event in its history is recorded with an olfactory memorandum.	pour	literature	Lily Prior	La Cucina		2000	Ecco		Ecco	2001																	

You wake up one morning married to a stranger who loves rye bread so dense you better duck if a loaf comes sailing towards you. 	throw	socialmedia	Michaele Weissman	"The Rye Bread Marriage, featured on The Splendid Table podcast"		Aired 27 February 2020	NPR																				

There ain&rsquo;t a body, be it mouse or man, that ain&rsquo;t made better by a little soup.	insert	literature	Kate DiCamillo	The Tale of Despereaux	233	2003	Candlewick Press																				

I don&rsquo;t believe in twisting yourself into knots of excuses and explanations over the food you make. 	squeeze	literature	Julia Child	My Life in France	71	2006	Alfred A. Knopf																				

You could learn everything about a couple just watching their kitchen choreography as they prepared dinner.	move	literature	Erica Bauermeister	The School of Essential Ingredients	60	2009	G. P. Putnam's Sons																				

[The kitchen] was also messy&mdash;delightfully so, thought Jane&mdash;and it didn&rsquo;t look as though lots of cooking went on there... This is the kitchen of a Thinker, she decided, and promised herself that she&rsquo;d never bother with cooking, either.	turn-off	literature	Jeanne Birdsall	The Penderwicks on Gardam Street	185	2008	Alfred A. Knopf																				

I want them to bite into a cookie, and think of me, and smile. Food is love. Food has a power. I knew it in my mind, but now I know it in my heart.	cut	literature	Jael McHenry	The Kitchen Daughter	272	2011	Gallery Books																				

Cook was something women did to nourish and nurture their families, whereas for men it was largely something they did professionally to gain money and status.	fill	literature	Padma Lakshmi	"Love, Loss, and What We Ate: A Memoir"		2013	Ecco																				

Tita knew through her own flesh how fire transforms the elements, how a lump of corn flour is changed into a tortilla, how a soul that hasn&rsquo;t been warmed by the fire of love is lifeless, like a useless ball of corn flour.	press	literature	Laura Esquivel	Like Water for Chocolate		1989	Doubleday																				

Food becomes a subtle way of showing intimacy.	turn-on	socialmedia	Obi Emelonye interviewed by Graihagh Jackson	"""Fantasy, fiction, and food,"" The Food Chain"	3:20		BBC																				

Zip it kiddo. Don&rsquo;t ever admit you know a thing about cooking or it&rsquo;ll be used against you later in life.	close	literature	Rebecca Wells	Little Altars Everywhere		1992	Broken Moon Press		HarperPerrenial	1996																	

She quickly jumped back in with her favorite part of cooking, the smells that would infuse the restaurant from  open to close.	fill	literature	Jenny Nelson	Georgia's Kitchen	267	2010	Gallery Books																				

I&rsquo;ve got a long history of scraping together little moments of peace in the midst of hardship, and cooking is a great way to do that.	peel	literature	Magaret Killjoy	The Lamb Will Slaughter the Lion	"""Five"""	2017	Tor																				

Cooking is about surrender.	empty	literature	Tembi Locke	"From Scratch: A Memoir of Love, Sicily, and Finding Home"	69	2019	Simon & Schuster																				

There&rsquo;s something brilliant about a recipe that doesn&rsquo;t ask too much of you; a recipe, in fact, where getting it exactly right would be exactly wrong; a recipe you can fiddle with, and tend to when you remember.	squeeze	literature	Ella Risbridger	Midnight Chicken: & Other Recipes Worth Living For	"""Imperfect Pikelets"""	2019	Bloomsbury																				

Baking calms me; it&rsquo;s stabilizing. It&rsquo;s what I do when I don&rsquo;t want to think about anything hard.	adjust	literature	Jenny Han	P.S. I Still Love You	18	2017	Simon & Schuster																				

I carried recipes in my head like maps. All kinds of recipes: torn from abandoned magazines in busy railway stations, wheedled from people on the road, strange marriages of my own confection.	take	literature	Joanne Harris	Chocolat	"""Wednesday, February 9"""	1999	Berkley Publishing																				

My Aunt Sara says it&rsquo;s in our blood, an innate need to tell a story through food. &rsquo;Buela says it&rsquo;s definitely a blessing, magic.	open	literature	Elizabeth Acevedo	With the Fire on High		2019	Hot Key Book																				

In the secret kitchen of my imagination I made them all, tested, tasted them, added to my collection of recipes wherever we went, pasted them into my scrapbook like photographs of old friends.	take	literature	Joanne Harris	Chocolat		1999	Berkley Publishing																				

I was happy to spend some time in the kitchen...I&rsquo;ve got a long history of scraping together little moments of peace in the midst of hardship, and cooking is a great way to do that.	mix	literature	Margaret Killjoy	The Lamb Will Slaughter the Lion	"""Five"""	2017	Tor																				

Good cooking is a form of benevolence. 	pour	literature	Dorothy Whipple	Because Of The Lockwoods		1949	John Murray		Persephone Books	2014																	

[There&rsquo;s a] point where you have to leave the dough alone. It&rsquo;s silly to anthropomorphize bread, but I love the fact that it needs to sit quietly, to retreat from touch and noise and drama, in order to evolve. I have to admit, I often feel that way myself.	put	literature	Jodi Picoult	The Storyteller	18	2013	Atria																				

&ldquo;I stuck my finger in his eye, he would not let my hair go. It was definitely about to be a murder. And it was going to be me.&rdquo;	press	socialmedia	"Sonya Kristina King, interviewed by Emily Thomas"	"""How dangerous is your food delivery?"" The Food Chain, 1:52"		31 October 2019	BBC																				

&ldquo;Everything was so fast but so slow at the same time. I could not believe that an actual grown man was trying to hurt me.&rdquo;	squeeze	socialmedia	"Sonya Kristina King, interviewed by Emily Thomas"	"""How dangerous is your food delivery?"" The Food Chain, 7:00"		31 October 2019	BBC																				

Do you think that [food delivery] is a dangerous job for women in particular? &ldquo;Yes. I do.&rdquo;	cut	socialmedia	"Sonya Kristina King, interviewed by Emily Thomas"	"""How dangerous is your food delivery?"" The Food Chain, 10:50"		31 October 2019	BBC																				

Cooking together creates a kind of intimacy that can be romance, or it can just be lovely and intimate.	open	socialmedia	Evan Kleiman	"""Cooking for two, dating sans alcohol, and edible underwear,"" Good Food, 1:-02"		8 February 2020	NPR																				
